,ISOCode,Country.Name,Uncertainty.Bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
502,SUR,Suriname,Median,"5,3496","5,1488","4,9681","4,8003","4,6521","4,523","4,4124","4,3209","4,2424","4,1747","4,117","4,0625","4,0111","3,9598","3,9091","3,8527","3,798","3,7402","3,6798","3,6178","3,5522","3,4859","3,4204","3,3552","3,2908","3,226","3,1572","3,0826","3,0114","2,9334"
505,SWE,Sweden,Median,"1,4443","1,4102","1,3777","1,346","1,3152","1,2861","1,2585","1,2313","1,2052","1,1794","1,1539","1,1282","1,1029","1,0772","1,0514","1,0249","0,9983","0,972","0,9457","0,9204","0,896","0,8723","0,8499","0,8281","0,807","0,7865","0,7666","0,7468","0,7275","0,7087"
508,CHE,Switzerland,Median,"1,9564","1,8911","1,8247","1,7567","1,6885","1,621","1,555","1,4912","1,4297","1,3714","1,3155","1,2629","1,2131","1,1658","1,1216","1,0791","1,0384","0,9991","0,9619","0,9261","0,8924","0,8608","0,8313","0,8034","0,7775","0,7535","0,7309","0,7096","0,6882","0,6667"
511,SYR,Syrian Arab Republic,Median,"9,6136","9,3642","9,0995","8,8087","8,4994","8,1612","7,804","7,4265","7,0174","6,5671","6,084","5,5943","5,1242","4,7182","4,422","4,2462","4,1587","4,1323","4,1391","4,1558","4,1634","6,7818","27,4552","37,2814","41,8788","32,5595","29,9565","24,6321","15,6084","10,0066"
514,TJK,Tajikistan,Median,"7,4943","7,9147","14,897","10,4429","8,5601","8,3076","11,4029","7,0315","6,2273","5,45","4,7743","4,2273","3,7882","3,4384","3,1546","2,9206","2,7225","2,5499","2,3984","2,2598","2,133","2,0171","1,9128","1,8254","1,7488","1,6787","1,6172","1,5589","1,5076","1,4614"
517,THA,Thailand,Median,"6,2718","6,1371","6,0349","5,9564","5,8782","5,7828","5,6926","5,6489","5,6758","5,764","5,8999","6,0395","6,1209","6,1073","7,7146","5,8655","5,6886","5,5085","5,3398","5,1779","5,0171","4,8602","4,7126","4,5783","4,4662","4,3826","4,323","4,2768","4,2341","4,1868"
520,TLS,Timor-Leste,Median,"24,8557","23,9525","23,0947","22,2631","21,4436","20,6486","19,8689","19,1122","18,3781","17,6506","16,9446","16,2446","15,5368","14,8464","14,1622","13,4955","12,8645","12,2652","11,7313","11,2693","10,8415","10,4728","10,1333","9,8132","9,5392","9,2697","9,0145","8,7585","8,5132","8,3042"
523,TGO,Togo,Median,"33,6274","32,7161","31,8203","30,958","30,1236","29,2944","28,4727","27,6695","26,8757","26,0924","25,3012","24,523","23,7533","22,9989","22,2359","21,4863","20,7543","20,0016","19,273","18,5676","17,8842","17,1923","16,5477","15,9254","15,3212","14,7531","14,2386","13,7361","13,2775","12,8376"
526,TON,Tonga,Median,"3,3671","3,466","3,5716","3,6793","3,7912","3,8977","4,0067","4,1193","4,2248","4,3201","4,4054","4,4693","4,5077","4,5164","4,4948","4,4389","4,3516","4,2373","4,102","3,9477","3,785","3,6124","3,4386","3,2659","3,0951","2,9343","2,7752","2,6304","2,4934","2,3708"
529,TTO,Trinidad and Tobago,Median,"3,9903","3,9204","3,8582","3,804","3,7549","3,7114","3,6749","3,6419","3,6086","3,5741","3,5365","3,4972","3,456","3,4123","3,3649","3,3148","3,2612","3,2033","3,1379","3,0715","2,9988","2,9275","2,8569","2,7842","2,7126","2,6388","2,5665","2,4961","2,4235","2,3513"
532,TUN,Tunisia,Median,"6,727","6,3976","6,0876","5,7908","5,5131","5,2601","5,0394","4,8531","4,6965","4,5627","4,4435","4,3298","4,2194","4,1126","4,006","3,9028","3,8053","3,7123","3,6286","3,5504","3,4811","3,4202","3,369","3,3279","3,2978","3,2783","3,2695","3,2672","3,2591","3,2371"
535,TUR,Turkey,Median,"9,0765","8,9449","8,8284","8,7043","8,5782","8,4451","8,3058","8,1449","7,9814","10,7105","7,6022","7,3773","7,123","6,8438","6,5378","6,1962","5,8233","5,4205","4,9941","4,5508","4,1092","3,6838","3,2956","2,9613","2,6862","2,464","2,2879","2,147","2,0292","1,927"
538,TKM,Turkmenistan,Median,"7,1731","7,1681","7,1622","7,1375","7,0742","6,9616","6,8082","6,6335","6,4494","6,2738","6,1147","5,9763","5,8614","5,7559","5,6448","5,5133","5,3529","5,1586","4,9459","4,7354","4,5402","4,3728","4,2418","4,1437","4,0668","4,0043","3,9391","3,8692","3,7906","3,6989"
541,TUV,Tuvalu,Median,"9,6355","9,5153","9,3843","9,2341","9,065","8,8785","8,6792","8,4684","8,2603","8,0513","7,8481","7,6673","7,5127","7,3688","7,2423","7,1191","6,9925","6,8653","6,7214","6,5609","6,4049","6,249","6,1046","5,9498","5,8191","5,6572","5,5141","5,3707","5,2346","5,0904"
544,UGA,Uganda,Median,"29,1504","28,5111","27,8699","27,2418","26,6168","25,982","25,3597","24,7504","24,1538","23,5726","22,9981","22,4167","21,8453","21,2734","20,6955","20,1408","19,5909","19,0653","18,5446","18,0441","17,5667","17,1169","16,6753","16,2544","15,8318","15,4229","15,0254","14,6144","14,2386","13,8662"
547,UKR,Ukraine,Median,"4,4926","4,5095","4,5043","4,4707","4,4049","4,3124","4,1991","4,0782","3,9631","3,8608","3,7709","3,689","3,613","3,5382","3,4595","3,3677","3,2567","3,1258","2,9801","2,8258","2,6701","2,5217","2,3835","2,2562","2,7471","2,0358","1,9426","1,8586","1,7821","1,7115"
550,ARE,United Arab Emirates,Median,"3,2818","3,1657","3,0607","2,9662","2,8806","2,8038","2,7352","2,6716","2,6133","2,5608","2,5119","2,4648","2,419","2,3736","2,3261","2,2782","2,2324","2,1897","2,1491","2,11","2,0736","2,0416","2,0151","1,9941","1,9775","1,9649","1,9532","1,9408","1,9254","1,9049"
553,GBR,United Kingdom,Median,"1,8527","1,7819","1,7136","1,6485","1,5874","1,5301","1,4773","1,4291","1,3855","1,3461","1,3101","1,2764","1,2435","1,2107","1,1778","1,1443","1,11","1,0751","1,0398","1,0052","0,9721","0,9414","0,9133","0,8876","0,864","0,8423","0,8223","0,8037","0,7858","0,7678"
556,TZA,United Republic of Tanzania,Median,"27,7034","27,0829","26,4259","25,7216","24,9275","24,0825","23,2011","22,2954","21,36","20,4164","19,5054","18,6502","17,8107","17,0101","16,2614","15,5626","14,945","14,398","13,933","13,5535","13,2628","13,0419","12,9005","12,7912","12,6389","12,4515","12,2365","11,9632","11,6901","11,4555"
559,USA,United States of America,Median,"2,4289","2,373","2,3294","2,292","2,2535","2,2072","2,1472","2,0731","1,9921","1,9115","1,8381","1,7772","1,7294","1,6872","1,6434","1,5947","1,5402","1,4813","1,4234","1,3719","1,3295","1,3005","1,2854","1,2828","1,2908","1,3073","1,329","1,3508","1,3673","1,3727"
562,URY,Uruguay,Median,"3,2096","3,1539","3,0998","3,0449","2,9863","2,9269","2,8665","2,8047","2,742","2,6788","2,6163","2,5556","2,4969","2,4397","2,3839","2,3294","2,2762","2,224","2,172","2,1205","2,0701","2,0197","1,9688","1,9184","1,8684","1,8193","1,7713","1,7242","1,6787","1,6342"
565,UZB,Uzbekistan,Median,"6,8495","6,8849","6,9037","6,8884","6,8256","6,7005","6,5075","6,2542","5,9489","5,6105","5,2605","4,9212","4,6151","4,3607","4,1646","4,0248","3,939","3,8948","3,8835","3,8928","3,9104","3,9268","3,9372","3,9363","3,9251","3,9111","3,8953","3,8697","3,8255","3,7647"
568,VUT,Vanuatu,Median,"6,9395","6,6971","6,4853","6,3036","6,1608","6,0495","5,9697","10,0818","5,8695","5,842","5,8241","5,8108","5,8092","5,8132","5,8295","5,8521","5,8854","5,9251","5,9582","5,9946","6,0335","6,0577","6,0641","6,035","5,9727","5,8884","5,7786","5,6586","5,5483","5,427"
571,VEN,Venezuela (Bolivarian Republic of),Median,"4,4594","4,3349","4,2244","4,1294","4,0488","3,9832","3,9306","3,895","3,8784","11,082","3,9012","3,9337","3,9615","3,9676","3,9475","3,9032","3,8372","3,7527","3,6542","3,5529","3,4614","3,3939","3,3601","3,3683","3,4033","3,4362","3,4513","3,4543","3,4543","3,4543"
574,VNM,Viet Nam,Median,"10,7259","10,1631","9,6296","9,1255","8,6472","8,1979","7,7676","7,3567","6,9612","6,5969","6,2475","5,9122","5,6036","5,3129","5,0387","4,7771","4,53","4,298","4,086","3,884","3,6907","3,5071","3,3347","3,1759","3,0377","2,9136","2,8016","2,6994","2,6067","2,5196"
577,YEM,Yemen,Median,"18,5592","20,8193","17,0447","16,3307","15,6384","14,9658","14,3193","13,6954","13,0854","12,5038","11,9361","11,3892","10,8662","10,3496","9,8609","9,3896","8,9506","8,5278","8,1323","7,757","7,3963","7,0596","7,7186","6,463","7,3143","10,542","9,6806","9,7774","12,9337","12,5758"
580,ZMB,Zambia,Median,"26,9635","26,6561","26,3392","25,9941","25,6034","25,1539","24,6528","24,1067","23,5222","22,9211","22,2881","21,5788","20,8436","20,088","19,3379","18,6055","17,8903","17,2262","16,5855","15,9894","15,4292","14,8721","14,3427","13,8088","13,2837","12,7496","12,2531","11,8032","11,3698","10,9727"
583,ZWE,Zimbabwe,Median,"13,2452","13,2835","13,3544","13,4686","13,5966","13,7437","13,9118","14,105","14,3031","14,52","14,7736","15,0266","15,3056","15,6013","15,8689","16,082","16,2202","16,2465","16,1223","15,8645","15,4967","15,0635","14,5754","14,1288","13,675","13,2831","12,887","12,5225","12,1937","11,8509"
